type,mean_1,stddev_1,mean_2,stddev_2,results,time,age,gender,smoker,background,date,condition,ID
Experimental,8,3.0,9,1.0,5,3.288,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,7,0.4,9,0.4,1,5.187,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,0.4,9,1.0,5,9.107,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,0.4,8,1.0,4,6.344,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Diversion,7,1.0,7,3.0,5,3.797,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,9,3.0,7,3.0,5,5.823,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,3.0,7,1.0,2,6.214,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,0.4,9,1.0,2,7.549,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,0.4,8,1.0,2,9.96,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,8,1.0,8,1.0,2,8.664,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,0.4,7,1.0,2,7.854,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,3.0,9,1.0,2,6.645,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,3.0,8,1.0,3,6.856,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,0.4,7,1.0,2,6.631,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,0.4,7,1.0,3,6.499,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,9,1.0,7,1.0,2,4.939,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,8,1.0,8,1.0,2,8.115,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,3.0,7,1.0,3,5.959,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,0.4,8,1.0,2,6.006,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,0.4,9,1.0,2,6.84,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,3.0,7,1.0,2,8.556,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,3.0,9,1.0,3,5.936,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,7,1.0,9,1.0,3,8.601,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,3.0,8,1.0,2,6.288,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,3.0,8,1.0,3,7.487,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,8,1.0,7,1.0,2,8.477,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Diversion,7,1.0,7,3.0,4,7.764,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Diversion,7,1.0,7,3.0,1,4.002,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,0.4,8,1.0,2,4.559,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,0.4,7,1.0,4,8.473,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,8,1.0,8,1.0,4,6.172,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,3.0,8,1.0,1,5.71,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,3.0,7,1.0,2,4.569,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,7,1.0,8,1.0,4,7.783,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,1.0,7,1.0,3,8.469,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,3.0,7,1.0,4,6.016,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,1.0,8,1.0,4,7.288,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,3.0,8,1.0,2,8.0,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,0.4,9,0.4,1,6.221,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,9,1.0,2,9.703,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,0.4,9,1.0,3,9.111,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Diversion,8,1.0,8,3.0,5,5.744,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,0.4,7,1.0,2,11.397,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,0.4,8,1.0,3,10.058,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,7,1.0,3,11.634,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,3.0,7,3.0,4,8.136,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,3.0,9,1.0,2,10.609,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,3.0,8,1.0,2,8.301,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,8,1.0,2,11.885,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,1.0,8,1.0,3,13.717,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,3.0,9,1.0,2,8.544,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,3.0,9,1.0,2,11.047,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,3.0,7,1.0,2,11.148,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,0.4,9,1.0,3,9.622,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,8,1.0,3,9.863,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,8,0.4,8,1.0,4,8.742,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,7,1.0,7,1.0,4,9.34,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,8,3.0,7,1.0,2,13.791,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,7,3.0,9,1.0,1,10.774,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,9,0.4,7,1.0,4,7.72,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,9,0.4,8,1.0,4,10.861,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,8,3.0,8,1.0,4,13.949,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,7,0.4,9,1.0,5,7.602,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,7,3.0,8,1.0,2,8.984,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,7,3.0,7,1.0,3,9.63,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Diversion,8,1.0,8,3.0,5,4.122,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,7,0.4,8,0.4,1,7.876,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,8,0.4,7,1.0,4,9.04,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,9,1.0,8,1.0,2,9.756,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,8,3.0,9,1.0,1,7.015,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,9,3.0,7,1.0,3,6.531,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,9,0.4,9,1.0,3,9.343,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,8,0.4,9,1.0,3,9.534,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,7,1.0,7,1.0,4,9.502,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Diversion,8,1.0,8,0.4,1,5.541,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,8,1.0,7,1.0,4,12.03,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,9,3.0,8,3.0,5,3.818,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,7,0.4,7,1.0,3,8.372,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,9,3.0,8,1.0,2,8.203,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,9,1.0,8,1.0,2,10.493,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Experimental,9,3.0,9,1.0,2,8.781,19,gender_female,smoker_no,Engineering,2014-11-07,S1,3
Control,9,1.0,9,1.0,4,14.03,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,8,3.0,8,1.0,0,0.0,29,gender_male,smoker_yes,Information Technology,0000-00-00,S1,4
Control,9,1.0,9,1.0,2,6.959,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,9,0.4,8,1.0,5,8.975,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Control,9,1.0,7,1.0,4,10.739,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,9,3.0,8,1.0,4,8.829,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,8,0.4,8,1.0,5,8.141,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,8,0.4,7,1.0,3,8.989,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Control,7,3.0,7,3.0,5,5.476,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Control,9,1.0,8,1.0,4,14.157,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,7,0.4,9,1.0,4,8.887,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,8,3.0,9,1.0,4,10.655,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,8,0.4,9,1.0,5,11.839,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,7,3.0,8,1.0,3,10.172,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,9,0.4,9,1.0,4,11.102,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Diversion,8,1.0,8,0.4,1,8.979,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Diversion,7,1.0,7,3.0,5,6.776,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,7,3.0,7,1.0,4,11.735,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,9,3.0,7,1.0,3,8.604,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,7,0.4,7,1.0,4,8.495,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,9,0.4,7,1.0,3,12.095,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,7,3.0,9,1.0,3,9.862,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,9,3.0,9,1.0,2,11.327,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,7,0.4,8,1.0,3,11.729,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Experimental,8,3.0,7,1.0,3,10.714,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Control,7,0.4,8,0.4,1,10.04,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Control,8,1.0,9,1.0,2,13.573,29,gender_male,smoker_yes,Information Technology,2014-11-07,S1,4
Control,9,1.0,9,1.0,3,13.198,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,7,3.0,8,1.0,2,11.645,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,3.0,7,1.0,3,10.633,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,7,0.4,7,1.0,2,11.0,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,8,3.0,8,1.0,2,9.952,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,8,0.4,7,1.0,2,18.655,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Control,9,1.0,8,1.0,3,9.878,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,3.0,8,1.0,3,15.699,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Control,8,1.0,7,1.0,2,19.279,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Diversion,9,1.0,9,0.4,1,11.805,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,7,3.0,7,1.0,3,14.581,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,0.4,8,1.0,3,13.485,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,0.4,7,1.0,3,19.292,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,3.0,9,1.0,3,15.443,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Control,8,1.0,8,1.0,2,16.022,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,7,0.4,8,1.0,3,18.41,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,8,0.4,9,1.0,2,14.156,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,0.4,9,1.0,0,0.0,25,gender_male,smoker_no,Economics,0000-00-00,S1,5
Experimental,8,3.0,7,1.0,2,9.738,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,7,3.0,9,1.0,3,9.235,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Diversion,9,1.0,9,3.0,4,9.947,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,8,3.0,9,1.0,3,10.682,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Control,9,0.4,9,0.4,1,11.809,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Control,9,3.0,7,3.0,4,8.582,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,7,0.4,9,1.0,2,11.773,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,8,0.4,8,1.0,3,10.152,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Control,7,1.0,9,1.0,2,13.485,25,gender_male,smoker_no,Economics,2014-11-07,S1,5
Experimental,9,3.0,7,1.0,0,0.0,28,gender_female,smoker_no,information systems,0000-00-00,S1,6
Experimental,7,3.0,8,1.0,2,10.023,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,8,1.0,7,1.0,3,11.221,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,9,0.4,7,0.4,1,9.41,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,8,0.4,7,1.0,3,10.733,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,9,1.0,9,1.0,2,9.483,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,9,3.0,9,1.0,2,14.402,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,8,3.0,9,1.0,2,13.103,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Diversion,8,1.0,8,3.0,5,10.025,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,8,3.0,8,3.0,5,11.275,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,7,3.0,7,1.0,2,10.185,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,7,0.4,8,1.0,3,12.739,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,7,1.0,7,1.0,2,13.127,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,7,0.4,7,1.0,2,11.184,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,9,0.4,8,1.0,3,10.761,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,8,3.0,7,1.0,2,9.417,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,8,1.0,9,1.0,3,9.343,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,9,0.4,7,1.0,2,15.588,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,9,3.0,8,1.0,2,10.087,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,8,0.4,9,1.0,3,10.26,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,8,0.4,8,1.0,2,10.532,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Control,8,1.0,9,1.0,2,11.886,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,9,0.4,9,1.0,3,11.567,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Diversion,9,1.0,9,3.0,3,9.803,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,7,3.0,9,1.0,2,10.268,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,8,3.0,8,1.0,2,8.726,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,7,0.4,9,1.0,1,16.136,28,gender_female,smoker_no,information systems,2014-11-07,S1,6
Experimental,9,3.0,9,1.0,1,10.628,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,3.0,9,1.0,1,14.636,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,8,0.4,7,0.4,1,16.929,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,8,3.0,7,1.0,2,13.292,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,8,3.0,9,1.0,2,15.051,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,8,1.0,7,1.0,3,10.981,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,9,0.4,7,1.0,2,17.567,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,9,1.0,8,1.0,4,15.87,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,9,3.0,8,1.0,3,13.547,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,3.0,7,1.0,2,13.093,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,8,0.4,8,1.0,1,13.772,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,8,3.0,8,1.0,1,11.33,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Diversion,7,1.0,7,0.4,1,8.308,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,9,1.0,7,1.0,5,13.138,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,9,0.4,9,1.0,2,18.946,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,0.4,7,1.0,3,13.534,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,9,1.0,9,1.0,2,9.419,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,8,3.0,7,3.0,5,5.497,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,9,0.4,8,1.0,3,9.954,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Diversion,7,1.0,7,3.0,5,4.643,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Control,9,1.0,9,1.0,2,12.659,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,8,0.4,7,1.0,3,9.364,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,3.0,8,1.0,3,12.53,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,0.4,8,1.0,2,12.886,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,8,0.4,9,1.0,3,9.0,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,9,3.0,7,1.0,4,16.452,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,0.4,9,1.0,4,13.016,21,gender_male,smoker_no,Financial Economics and Management,2014-11-07,S1,7
Experimental,7,0.4,7,1.0,4,11.591,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,7,3.0,7,1.0,3,15.93,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,7,1.0,9,1.0,2,11.448,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,9,3.0,9,1.0,1,13.244,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,8,0.4,9,0.4,1,17.208,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,8,0.4,8,1.0,3,13.87,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,8,3.0,7,3.0,4,12.026,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,7,0.4,9,1.0,2,10.559,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,9,0.4,9,1.0,2,10.453,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,7,1.0,9,1.0,2,15.363,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,8,3.0,9,1.0,2,11.381,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,8,0.4,9,1.0,2,11.798,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,7,3.0,9,1.0,2,15.093,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,8,1.0,8,1.0,2,15.56,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,8,3.0,8,1.0,2,14.844,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,9,3.0,8,1.0,2,11.94,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,8,0.4,7,1.0,2,16.954,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,9,3.0,7,1.0,2,15.11,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,9,0.4,7,1.0,3,13.786,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,8,3.0,7,1.0,2,15.471,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,7,1.0,7,1.0,3,14.415,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Diversion,8,1.0,8,3.0,5,12.819,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,7,1.0,7,1.0,3,13.423,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Diversion,8,1.0,8,0.4,1,8.076,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,7,0.4,8,1.0,2,13.853,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,7,3.0,8,1.0,2,10.229,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Experimental,9,0.4,8,1.0,3,8.459,19,gender_male,smoker_no,Advanced Mathematics,2014-11-07,S1,8
Control,7,0.4,9,0.4,2,7.301,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Control,7,1.0,9,1.0,4,5.572,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Control,8,3.0,8,3.0,5,2.888,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,8,0.4,7,1.0,4,8.195,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,7,0.4,7,1.0,3,7.617,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,8,0.4,8,1.0,3,10.069,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,8,3.0,9,1.0,4,8.304,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Diversion,9,1.0,9,0.4,1,7.336,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,7,3.0,9,1.0,4,6.854,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,7,0.4,9,1.0,4,6.246,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Control,7,1.0,8,1.0,4,6.7,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,0.4,7,1.0,5,7.853,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,7,3.0,7,1.0,4,6.901,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,0.4,9,1.0,4,5.63,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Control,9,1.0,7,1.0,3,6.429,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,8,3.0,8,1.0,4,5.102,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,7,0.4,8,1.0,4,9.013,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Control,9,1.0,8,1.0,5,5.71,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,8,3.0,7,1.0,3,9.19,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,7,3.0,8,1.0,4,9.965,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,3.0,7,1.0,3,8.853,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Control,7,1.0,8,1.0,4,8.91,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,0.4,8,1.0,4,6.478,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,3.0,8,1.0,3,8.955,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Diversion,7,1.0,7,3.0,5,3.388,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,8,0.4,9,1.0,3,7.421,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,3.0,9,1.0,4,6.526,18,gender_female,smoker_no,Civil Engineering with Architecture,2014-11-07,S1,9
Experimental,9,0.4,9,1.0,4,5.251,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Experimental,7,0.4,7,1.0,4,9.547,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Experimental,7,3.0,8,1.0,4,4.539,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Control,8,3.0,8,3.0,5,2.939,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Experimental,9,0.4,8,1.0,4,5.476,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Diversion,8,1.0,8,0.4,1,5.379,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Experimental,9,3.0,8,1.0,3,8.755,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
Experimental,9,3.0,7,1.0,2,14.674,21,gender_female,smoker_no,Computer Science,2014-11-07,S1,10
